EVENTS Event Timestamp Hour,EVENTS Pageview Count,EVENTS Share Count,EVENTS Unique Visitors,EVENTS Subscribe,EVENTS Video Start + 30s,EVENTS Nugget Preview CTR,EVENTS Event Count,Pageviews/Events,Spike
4/1/15 0:00,74189,1106,63288,37,15916,1.92,717848,10.33,0
4/1/15 1:00,71023,983,61417,51,14820,1.87,652078,10.89,0
4/1/15 2:00,58321,982,50378,32,12882,2.08,573380,10.17,0
4/1/15 3:00,49202,775,42361,21,10789,2.13,473177,10.40,0
4/1/15 4:00,38989,629,32383,27,8960,2.23,380902,10.24,0
4/1/15 5:00,33622,517,27886,23,8442,2.3,331864,10.13,0
4/1/15 6:00,25618,391,21633,14,6586,2.45,248768,10.30,0
4/1/15 7:00,19640,329,16439,11,5043,2.29,193721,10.14,0
4/1/15 8:00,16092,261,13062,12,3954,2.44,161783,9.95,0
4/1/15 9:00,15985,235,13016,8,3789,2.23,158072,10.11,0
4/1/15 10:00,19686,283,16565,20,4572,2.16,186185,10.57,0
4/1/15 11:00,26060,378,22097,15,6112,2.15,251659,10.36,0
4/1/15 12:00,31722,491,26529,21,7857,2.12,310892,10.20,0
4/1/15 13:00,45450,762,35994,24,12106,2.17,491801,9.24,0
4/1/15 14:00,41070,726,32528,27,10789,2.16,437898,9.38,0
4/1/15 15:00,54309,974,44878,21,9224,2.04,560628,9.69,0
4/1/15 16:00,72327,1237,60617,30,9758,1.73,731098,9.89,0
4/1/15 17:00,72314,1149,61043,30,10721,1.76,768240,9.41,0
4/1/15 18:00,57294,945,48865,37,9037,1.8,602635,9.51,0
4/1/15 19:00,56565,832,47468,26,10115,1.75,590929,9.57,0
4/1/15 20:00,57361,806,48509,32,9397,1.79,619235,9.26,0
4/1/15 21:00,48366,749,41438,36,8267,1.87,515057,9.39,0
4/1/15 22:00,58078,887,49798,26,8836,1.81,568183,10.22,0
4/1/15 23:00,53684,870,45958,19,8741,1.71,519549,10.33,0
4/2/15 0:00,51692,829,44827,27,8195,1.71,503230,10.27,0
4/2/15 1:00,49775,845,43221,28,7898,1.77,486349,10.23,0
4/2/15 2:00,50625,828,43654,35,8003,1.82,488692,10.36,0
4/2/15 3:00,46639,869,39514,30,8555,1.75,442533,10.54,0
4/2/15 4:00,47058,746,41308,22,6834,1.78,426633,11.03,0
4/2/15 5:00,33989,613,28655,17,5537,1.99,307724,11.05,0
4/2/15 6:00,26066,440,22135,9,4048,2.01,231699,11.25,0
4/2/15 7:00,22506,370,18863,15,3663,2.03,207507,10.85,0
4/2/15 8:00,18161,302,15094,13,3303,2.08,172341,10.54,0
4/2/15 9:00,17962,318,15279,12,3242,1.91,170601,10.53,0
4/2/15 10:00,26540,417,22455,9,3972,1.8,245519,10.81,0
4/2/15 11:00,40230,522,34344,18,5472,1.64,382457,10.52,1
4/2/15 12:00,48450,643,42259,33,6809,1.59,473690,10.23,0
4/2/15 13:00,59494,1162,48811,40,9994,1.75,623699,9.54,0
4/2/15 14:00,56236,1040,47373,44,9473,1.85,618924,9.09,0
4/2/15 15:00,51360,921,43566,44,8837,1.83,574189,8.94,0
4/2/15 16:00,87462,1451,74462,41,8937,1.61,873048,10.02,1
4/2/15 17:00,131964,2015,115897,49,8800,1.6,1202751,10.97,1
4/2/15 18:00,138226,2008,121188,72,8393,1.69,1231552,11.22,0
4/2/15 19:00,146212,2238,124532,64,12295,1.74,1351584,10.82,0
4/2/15 20:00,173027,2373,148140,67,17799,1.74,1542916,11.21,0
4/2/15 21:00,170434,2262,144702,70,24204,1.62,1501641,11.35,0
4/2/15 22:00,169385,2230,146327,55,23282,1.71,1457690,11.62,0
4/2/15 23:00,151301,1992,129901,51,19931,1.74,1352305,11.19,0
4/3/15 0:00,116134,1794,102112,44,16045,1.75,1133392,10.25,0
4/3/15 1:00,121768,1658,104502,41,15300,1.76,1140376,10.68,0
4/3/15 2:00,115360,1542,100242,44,14574,1.79,1049967,10.99,0
4/3/15 3:00,100946,1334,86474,46,13989,1.94,953136,10.59,0
4/3/15 4:00,74317,1046,62844,25,11005,2.01,690409,10.76,0
4/3/15 5:00,57565,801,49235,16,8861,2.17,537909,10.70,0
4/3/15 6:00,44678,601,37383,21,7544,2.22,424216,10.53,0
4/3/15 7:00,36017,516,29688,19,6441,2.35,346684,10.39,0
4/3/15 8:00,30544,402,25075,17,5679,2.38,296322,10.31,0
4/3/15 9:00,30072,358,24678,14,5458,2.3,290982,10.33,0
4/3/15 10:00,37010,502,31153,18,5999,2.3,345040,10.73,0
4/3/15 11:00,51651,642,44086,20,7716,2.14,491708,10.50,0
4/3/15 12:00,94332,1065,79729,26,20072,1.84,925501,10.19,1
4/3/15 13:00,137346,1758,115205,46,32203,1.95,1411189,9.73,0
4/3/15 14:00,129608,1713,108433,46,30495,2.02,1337054,9.69,0
4/3/15 15:00,131479,1683,110575,35,30985,1.9,1377532,9.54,0
4/3/15 16:00,159776,1935,133396,52,27714,1.84,1589970,10.05,0
4/3/15 17:00,147381,1891,124203,33,24124,1.87,1494185,9.86,0
4/3/15 18:00,123445,1589,103204,42,20953,1.97,1217367,10.14,0
4/3/15 19:00,111079,1378,93411,44,18558,1.99,1070981,10.37,0
4/3/15 20:00,132995,1861,112859,55,18082,1.8,1219043,10.91,0
4/3/15 21:00,126239,1743,106108,56,17809,2,1154064,10.94,0
4/3/15 22:00,111284,1449,95109,30,16374,1.99,948997,11.73,0
4/3/15 23:00,100206,1303,85880,33,14888,2,859764,11.66,0
4/4/15 0:00,104182,1380,88377,43,15567,1.85,893678,11.66,0
4/4/15 1:00,99171,1253,84977,35,13983,1.94,827788,11.98,0
4/4/15 2:00,87034,1223,73949,28,12459,1.99,753860,11.55,0
4/4/15 3:00,85971,1120,73010,23,16015,2.07,759577,11.32,0
4/4/15 4:00,77367,1042,65060,28,13033,2.34,657505,11.77,0
4/4/15 5:00,59155,796,50637,27,10726,2.27,515109,11.48,0
4/4/15 6:00,50164,685,43034,18,9715,2.32,443336,11.32,0
4/4/15 7:00,43927,568,36901,21,9053,2.49,393071,11.18,0
4/4/15 8:00,37557,487,31816,22,8012,2.45,338445,11.10,0
4/4/15 9:00,33453,474,28275,20,7161,2.34,305490,10.95,0
4/4/15 10:00,36140,468,30594,15,7282,2.33,323036,11.19,0
4/4/15 11:00,49356,730,43034,14,9110,2.23,429923,11.48,0
4/4/15 12:00,69543,931,59052,29,12580,2.16,601096,11.57,0
4/4/15 13:00,82750,1109,71960,37,15497,2.18,718430,11.52,0
4/4/15 14:00,89834,1236,77155,44,16928,2.12,781643,11.49,0
4/4/15 15:00,93541,1343,80360,35,17069,2.1,804085,11.63,0
4/4/15 16:00,90255,1178,78072,36,14872,2.07,755919,11.94,0
4/4/15 17:00,76236,1099,66317,29,13088,2.04,654516,11.65,0
4/4/15 18:00,74864,1012,65179,36,11706,2.14,627083,11.94,0
4/4/15 19:00,69112,990,60090,26,10580,2.16,589200,11.73,0
4/4/15 20:00,66305,883,56692,23,10375,2.21,569513,11.64,0
4/4/15 21:00,60496,778,51499,32,9772,2.37,525985,11.50,0
4/4/15 22:00,56489,792,49442,18,9052,2.16,490431,11.52,0
4/4/15 23:00,53720,687,47106,26,8592,2.14,460515,11.67,0
4/5/15 0:00,72806,979,64816,33,10371,2,596003,12.22,0
4/5/15 1:00,70068,904,62638,24,9094,1.99,558529,12.55,0
4/5/15 2:00,64677,858,57681,18,8146,2.06,514581,12.57,0
4/5/15 3:00,61327,825,55104,21,7639,2.12,484369,12.66,0
4/5/15 4:00,44360,679,38248,35,6871,2.36,377054,11.76,0
4/5/15 5:00,34626,536,29749,14,5752,2.29,299383,11.57,0
4/5/15 6:00,27299,455,23358,16,5008,2.41,240745,11.34,0
4/5/15 7:00,23615,427,19650,10,4589,2.7,209851,11.25,0
4/5/15 8:00,21180,361,17911,10,4288,2.85,187863,11.27,0
4/5/15 9:00,18005,282,15386,14,3822,2.48,164244,10.96,0
4/5/15 10:00,19449,312,16692,9,3867,2.45,177127,10.98,0
4/5/15 11:00,25791,396,22112,18,4699,2.44,226182,11.40,0
4/5/15 12:00,37634,543,32704,17,6199,2.51,311431,12.08,0
4/5/15 13:00,47690,676,43457,26,7304,2.28,382471,12.47,0
4/5/15 14:00,50162,701,45442,20,7817,2.3,404259,12.41,0
4/5/15 15:00,62778,858,55198,28,11683,2.38,530948,11.82,0
4/5/15 16:00,57764,818,51523,33,10816,2.33,491491,11.75,0
4/5/15 17:00,53837,764,47947,26,9844,2.29,458990,11.73,0
4/5/15 18:00,68680,946,60408,38,11930,2.1,598114,11.48,0
4/5/15 19:00,58201,778,51737,25,10074,2.14,505256,11.52,0
4/5/15 20:00,56477,749,50539,28,9588,2.11,486304,11.61,0
4/5/15 21:00,60827,890,53130,40,9775,2.03,528860,11.50,0
4/5/15 22:00,62871,836,55676,29,11139,2.09,557932,11.27,0
4/5/15 23:00,65708,836,57717,31,11759,2.08,583079,11.27,0
4/6/15 0:00,72047,885,63131,34,11605,2.06,615544,11.70,0
4/6/15 1:00,68224,832,60933,28,10244,2.02,572800,11.91,0
4/6/15 2:00,64238,810,56471,22,9428,1.96,534773,12.01,0
4/6/15 3:00,55192,759,47609,28,9254,2.14,510034,10.82,0
4/6/15 4:00,38861,536,32904,16,7617,2.26,359766,10.80,0
4/6/15 5:00,31946,481,27225,13,6192,2.29,293430,10.89,0
4/6/15 6:00,25416,378,21238,16,5242,2.38,239425,10.62,0
4/6/15 7:00,22800,301,18790,16,4900,2.46,219137,10.40,0
4/6/15 8:00,20236,291,16751,6,4323,2.51,193771,10.44,0
4/6/15 9:00,19964,249,16615,18,4106,2.46,189129,10.56,0
4/6/15 10:00,23674,309,20009,14,4439,2.25,215134,11.00,0
4/6/15 11:00,32250,414,27501,12,5284,2.29,279163,11.55,0
4/6/15 12:00,41062,498,35771,22,6312,2.27,362524,11.33,0
4/6/15 13:00,60508,894,49786,21,10929,2.23,573343,10.55,0
4/6/15 14:00,55974,853,46060,42,13251,2.21,579390,9.66,0
4/6/15 15:00,68432,1111,57205,29,18156,2.1,723968,9.45,0
4/6/15 16:00,71555,1170,58738,21,19088,2.15,755789,9.47,0
4/6/15 17:00,66421,1108,56801,38,16065,2.15,705495,9.41,0
4/6/15 18:00,60750,999,51279,32,13687,2.08,646392,9.40,0
4/6/15 19:00,56997,840,48983,26,12607,1.94,612136,9.31,0
4/6/15 20:00,76046,963,64068,42,12538,1.68,816881,9.31,0
4/6/15 21:00,89637,1174,76058,49,15199,1.57,951825,9.42,0
4/6/15 22:00,73231,1182,63251,42,13544,1.7,750343,9.76,0
4/6/15 23:00,63057,1014,54719,17,3043,1.85,449876,14.02,0
4/7/15 0:00,87666,1234,75817,43,12496,1.6,836983,10.47,0
4/7/15 1:00,73437,1062,62920,36,11011,1.72,685376,10.71,0
4/7/15 2:00,66655,961,56973,38,10128,1.87,616713,10.81,0
4/7/15 3:00,56455,937,49080,40,8571,1.86,542570,10.41,0
4/7/15 4:00,36165,701,30407,39,6732,2.02,389622,9.28,0
4/7/15 5:00,34242,582,28632,20,6144,2.23,336433,10.18,0
4/7/15 6:00,27786,415,23192,17,4638,2.23,264566,10.50,0
4/7/15 7:00,22843,354,18860,26,3851,2.2,220681,10.35,0
4/7/15 8:00,19543,264,16169,8,3216,2.24,190425,10.26,0
4/7/15 9:00,19266,267,16118,14,3181,2.1,185439,10.39,0
4/7/15 10:00,23784,340,20084,15,3529,2.06,218818,10.87,0
4/7/15 11:00,30405,421,26002,13,4445,2.07,275052,11.05,0
4/7/15 12:00,37039,539,32033,20,5488,1.98,334824,11.06,0
4/7/15 13:00,50096,850,39458,24,8342,2.05,500210,10.01,0
4/7/15 14:00,56732,985,46766,44,9610,2.01,561729,10.10,0
4/7/15 15:00,50788,946,42728,41,9082,2,505582,10.05,0
4/7/15 16:00,52368,1028,43591,43,8875,2.14,522752,10.02,0
4/7/15 17:00,46723,859,38237,41,7882,2.14,469875,9.94,0
4/7/15 18:00,52087,920,42614,33,9450,2.18,532561,9.78,0
4/7/15 19:00,77467,1264,65466,48,9917,1.89,762255,10.16,0
4/7/15 20:00,71102,1126,60141,34,9486,2.04,702360,10.12,0
4/7/15 21:00,66725,1030,56524,33,8619,2.09,649036,10.28,0
4/7/15 22:00,64418,1018,55594,34,7936,2.04,606420,10.62,0
4/7/15 23:00,76389,1170,65497,43,12835,1.84,699357,10.92,0
4/8/15 0:00,81241,1287,69864,30,12893,1.9,715780,11.35,0
4/8/15 1:00,77601,1147,66252,48,12494,1.95,670007,11.58,0
4/8/15 2:00,73207,1104,62682,34,12082,2.08,641889,11.40,0
4/8/15 3:00,77863,1295,67916,44,10548,2,646339,12.05,0
4/8/15 4:00,56768,1047,48905,44,8303,2.17,480478,11.81,0
4/8/15 5:00,42971,815,35780,20,6419,2.56,370198,11.61,0
4/8/15 6:00,32424,566,26922,20,4842,2.44,282561,11.48,0
4/8/15 7:00,22148,406,18781,13,3172,2.09,191056,11.59,0
4/8/15 8:00,21250,362,17516,18,3103,2.35,189301,11.23,0
4/8/15 9:00,21963,322,18349,17,2943,2.13,190741,11.51,0
4/8/15 10:00,30014,464,25890,12,3573,2.17,247685,12.12,0
4/8/15 11:00,40694,644,34823,23,4716,2.09,337887,12.04,0
4/8/15 12:00,57937,847,50697,32,8066,1.85,497476,11.65,0
4/8/15 13:00,82482,1178,67717,39,13397,1.89,794610,10.38,0
4/8/15 14:00,106429,1427,89484,69,12657,1.88,970755,10.96,0
4/8/15 15:00,98486,1447,84238,57,11336,1.89,918385,10.72,0
4/8/15 16:00,90115,1377,76008,46,11637,1.9,833102,10.82,0
4/8/15 17:00,81543,1291,68161,58,10586,1.95,752719,10.83,0
4/8/15 18:00,79602,1071,67971,33,10240,1.88,718812,11.07,0
4/8/15 19:00,72766,1047,62820,45,9420,2.03,670639,10.85,0
4/8/15 20:00,105444,1189,91101,59,11165,1.82,943745,11.17,0
4/8/15 21:00,118005,1367,100617,62,578,1.88,897992,13.14,0
4/8/15 22:00,96781,1241,81938,60,360,1.94,746568,12.96,0
4/8/15 23:00,83259,1033,70478,40,270,1.94,643243,12.94,0
4/9/15 0:00,86173,1115,74229,43,7550,1.93,720868,11.95,0
4/9/15 1:00,86085,1017,74145,46,11128,1.88,749068,11.49,0
4/9/15 2:00,72986,988,63378,36,10213,1.94,637968,11.44,0
4/9/15 3:00,79140,1022,67785,29,9113,1.96,654988,12.08,0
4/9/15 4:00,57790,846,48986,31,7410,2.16,495153,11.67,0
4/9/15 5:00,44425,576,37276,21,5396,2.25,384815,11.54,0
4/9/15 6:00,34816,501,29300,22,4322,2.36,298435,11.67,0
4/9/15 7:00,27021,334,22530,14,3625,2.3,235755,11.46,0
4/9/15 8:00,22245,349,18547,11,3021,2.28,196958,11.29,0
4/9/15 9:00,21624,287,18212,13,2792,2.27,188007,11.50,0
4/9/15 10:00,31620,436,26855,15,4768,2.03,280465,11.27,0
4/9/15 11:00,46240,641,39193,36,7949,1.85,425050,10.88,0
4/9/15 12:00,53080,683,46649,45,9903,1.78,517324,10.26,0
4/9/15 13:00,68714,1076,55128,50,13485,1.86,695316,9.88,0
4/9/15 14:00,62442,1024,51155,49,12912,2,664970,9.39,0
4/9/15 15:00,56188,936,47206,49,11668,1.96,608784,9.23,0
4/9/15 16:00,55907,848,46152,51,11660,1.99,611133,9.15,0
4/9/15 17:00,56644,851,47789,42,10883,1.98,576140,9.83,0
4/9/15 18:00,81004,1112,70025,38,14096,1.87,786677,10.30,0
4/9/15 19:00,80537,986,70351,41,14605,1.78,764442,10.54,0
4/9/15 20:00,81542,1058,72182,40,13051,1.9,750178,10.87,0
4/9/15 21:00,79821,1061,69902,35,13189,1.93,749599,10.65,0
4/9/15 22:00,74921,974,65317,38,12951,1.97,698106,10.73,0
4/9/15 23:00,70069,910,61279,41,12023,1.95,649913,10.78,0
4/10/15 0:00,80935,1122,69782,40,11777,1.74,736801,10.98,0
4/10/15 1:00,84095,1063,73517,33,11320,1.79,728362,11.55,0
