EVENTS Event Timestamp Hour,EVENTS Pageview Count,EVENTS Share Count,EVENTS Unique Visitors,EVENTS Subscribe,EVENTS Video Start + 30s,EVENTS Nugget Preview CTR,EVENTS Event Count,Pageviews/Events,Spike,Pageview Change,Share Change,Visitor Change,Subscribe Change,Video Change,Nugget Preview CTR Change,Event Change,% Pageview Change,% Share Change,% Visitor Change,% Subscribe Change,% Video Change,% Nugget Preview CTR Change,% Event Change
4/1/15 0:00,74189,1106,63288,37,15916,1.92,717848,10.33,,,,,,,,,,,,,,,
4/1/15 1:00,71023,983,61417,51,14820,1.87,652078,10.89,0,-3166,-123,-1871,14,-1096,-0.05,-65770,-4.27,-11.12,-2.96,37.84,-6.89,-2.60,-9.16
4/1/15 2:00,58321,982,50378,32,12882,2.08,573380,10.17,0,-12702,-1,-11039,-19,-1938,0.21,-78698,-17.88,-0.10,-17.97,-37.25,-13.08,11.23,-12.07
4/1/15 3:00,49202,775,42361,21,10789,2.13,473177,10.40,0,-9119,-207,-8017,-11,-2093,0.05,-100203,-15.64,-21.08,-15.91,-34.38,-16.25,2.40,-17.48
4/1/15 4:00,38989,629,32383,27,8960,2.23,380902,10.24,0,-10213,-146,-9978,6,-1829,0.1,-92275,-20.76,-18.84,-23.55,28.57,-16.95,4.69,-19.50
4/1/15 5:00,33622,517,27886,23,8442,2.3,331864,10.13,0,-5367,-112,-4497,-4,-518,0.07,-49038,-13.77,-17.81,-13.89,-14.81,-5.78,3.14,-12.87
4/1/15 6:00,25618,391,21633,14,6586,2.45,248768,10.30,0,-8004,-126,-6253,-9,-1856,0.15,-83096,-23.81,-24.37,-22.42,-39.13,-21.99,6.52,-25.04
4/1/15 7:00,19640,329,16439,11,5043,2.29,193721,10.14,0,-5978,-62,-5194,-3,-1543,-0.16,-55047,-23.34,-15.86,-24.01,-21.43,-23.43,-6.53,-22.13
4/1/15 8:00,16092,261,13062,12,3954,2.44,161783,9.95,0,-3548,-68,-3377,1,-1089,0.15,-31938,-18.07,-20.67,-20.54,9.09,-21.59,6.55,-16.49
4/1/15 9:00,15985,235,13016,8,3789,2.23,158072,10.11,0,-107,-26,-46,-4,-165,-0.21,-3711,-0.66,-9.96,-0.35,-33.33,-4.17,-8.61,-2.29
4/1/15 10:00,19686,283,16565,20,4572,2.16,186185,10.57,0,3701,48,3549,12,783,-0.07,28113,23.15,20.43,27.27,150.00,20.67,-3.14,17.78
4/1/15 11:00,26060,378,22097,15,6112,2.15,251659,10.36,0,6374,95,5532,-5,1540,-0.01,65474,32.38,33.57,33.40,-25.00,33.68,-0.46,35.17
4/1/15 12:00,31722,491,26529,21,7857,2.12,310892,10.20,0,5662,113,4432,6,1745,-0.03,59233,21.73,29.89,20.06,40.00,28.55,-1.40,23.54
4/1/15 13:00,45450,762,35994,24,12106,2.17,491801,9.24,0,13728,271,9465,3,4249,0.05,180909,43.28,55.19,35.68,14.29,54.08,2.36,58.19
4/1/15 14:00,41070,726,32528,27,10789,2.16,437898,9.38,0,-4380,-36,-3466,3,-1317,-0.01,-53903,-9.64,-4.72,-9.63,12.50,-10.88,-0.46,-10.96
4/1/15 15:00,54309,974,44878,21,9224,2.04,560628,9.69,0,13239,248,12350,-6,-1565,-0.12,122730,32.24,34.16,37.97,-22.22,-14.51,-5.56,28.03
4/1/15 16:00,72327,1237,60617,30,9758,1.73,731098,9.89,0,18018,263,15739,9,534,-0.31,170470,33.18,27.00,35.07,42.86,5.79,-15.20,30.41
4/1/15 17:00,72314,1149,61043,30,10721,1.76,768240,9.41,0,-13,-88,426,0,963,0.03,37142,-0.02,-7.11,0.70,0.00,9.87,1.73,5.08
4/1/15 18:00,57294,945,48865,37,9037,1.8,602635,9.51,0,-15020,-204,-12178,7,-1684,0.04,-165605,-20.77,-17.75,-19.95,23.33,-15.71,2.27,-21.56
4/1/15 19:00,56565,832,47468,26,10115,1.75,590929,9.57,0,-729,-113,-1397,-11,1078,-0.05,-11706,-1.27,-11.96,-2.86,-29.73,11.93,-2.78,-1.94
4/1/15 20:00,57361,806,48509,32,9397,1.79,619235,9.26,0,796,-26,1041,6,-718,0.04,28306,1.41,-3.13,2.19,23.08,-7.10,2.29,4.79
4/1/15 21:00,48366,749,41438,36,8267,1.87,515057,9.39,0,-8995,-57,-7071,4,-1130,0.08,-104178,-15.68,-7.07,-14.58,12.50,-12.03,4.47,-16.82
4/1/15 22:00,58078,887,49798,26,8836,1.81,568183,10.22,0,9712,138,8360,-10,569,-0.06,53126,20.08,18.42,20.17,-27.78,6.88,-3.21,10.31
4/1/15 23:00,53684,870,45958,19,8741,1.71,519549,10.33,0,-4394,-17,-3840,-7,-95,-0.1,-48634,-7.57,-1.92,-7.71,-26.92,-1.08,-5.52,-8.56
4/2/15 0:00,51692,829,44827,27,8195,1.71,503230,10.27,0,-1992,-41,-1131,8,-546,0,-16319,-3.71,-4.71,-2.46,42.11,-6.25,0.00,-3.14
4/2/15 1:00,49775,845,43221,28,7898,1.77,486349,10.23,0,-1917,16,-1606,1,-297,0.06,-16881,-3.71,1.93,-3.58,3.70,-3.62,3.51,-3.35
4/2/15 2:00,50625,828,43654,35,8003,1.82,488692,10.36,0,850,-17,433,7,105,0.05,2343,1.71,-2.01,1.00,25.00,1.33,2.82,0.48
4/2/15 3:00,46639,869,39514,30,8555,1.75,442533,10.54,0,-3986,41,-4140,-5,552,-0.07,-46159,-7.87,4.95,-9.48,-14.29,6.90,-3.85,-9.45
4/2/15 4:00,47058,746,41308,22,6834,1.78,426633,11.03,0,419,-123,1794,-8,-1721,0.03,-15900,0.90,-14.15,4.54,-26.67,-20.12,1.71,-3.59
4/2/15 5:00,33989,613,28655,17,5537,1.99,307724,11.05,0,-13069,-133,-12653,-5,-1297,0.21,-118909,-27.77,-17.83,-30.63,-22.73,-18.98,11.80,-27.87
4/2/15 6:00,26066,440,22135,9,4048,2.01,231699,11.25,0,-7923,-173,-6520,-8,-1489,0.02,-76025,-23.31,-28.22,-22.75,-47.06,-26.89,1.01,-24.71
4/2/15 7:00,22506,370,18863,15,3663,2.03,207507,10.85,0,-3560,-70,-3272,6,-385,0.02,-24192,-13.66,-15.91,-14.78,66.67,-9.51,1.00,-10.44
4/2/15 8:00,18161,302,15094,13,3303,2.08,172341,10.54,0,-4345,-68,-3769,-2,-360,0.05,-35166,-19.31,-18.38,-19.98,-13.33,-9.83,2.46,-16.95
4/2/15 9:00,17962,318,15279,12,3242,1.91,170601,10.53,0,-199,16,185,-1,-61,-0.17,-1740,-1.10,5.30,1.23,-7.69,-1.85,-8.17,-1.01
4/2/15 10:00,26540,417,22455,9,3972,1.8,245519,10.81,0,8578,99,7176,-3,730,-0.11,74918,47.76,31.13,46.97,-25.00,22.52,-5.76,43.91
4/2/15 11:00,40230,522,34344,18,5472,1.64,382457,10.52,1,13690,105,11889,9,1500,-0.16,136938,51.58,25.18,52.95,100.00,37.76,-8.89,55.77
4/2/15 12:00,48450,643,42259,33,6809,1.59,473690,10.23,0,8220,121,7915,15,1337,-0.05,91233,20.43,23.18,23.05,83.33,24.43,-3.05,23.85
4/2/15 13:00,59494,1162,48811,40,9994,1.75,623699,9.54,0,11044,519,6552,7,3185,0.16,150009,22.79,80.72,15.50,21.21,46.78,10.06,31.67
4/2/15 14:00,56236,1040,47373,44,9473,1.85,618924,9.09,0,-3258,-122,-1438,4,-521,0.1,-4775,-5.48,-10.50,-2.95,10.00,-5.21,5.71,-0.77
4/2/15 15:00,51360,921,43566,44,8837,1.83,574189,8.94,0,-4876,-119,-3807,0,-636,-0.02,-44735,-8.67,-11.44,-8.04,0.00,-6.71,-1.08,-7.23
4/2/15 16:00,87462,1451,74462,41,8937,1.61,873048,10.02,1,36102,530,30896,-3,100,-0.22,298859,70.29,57.55,70.92,-6.82,1.13,-12.02,52.05
4/2/15 17:00,131964,2015,115897,49,8800,1.6,1202751,10.97,1,44502,564,41435,8,-137,-0.01,329703,50.88,38.87,55.65,19.51,-1.53,-0.62,37.76
4/2/15 18:00,138226,2008,121188,72,8393,1.69,1231552,11.22,0,6262,-7,5291,23,-407,0.09,28801,4.75,-0.35,4.57,46.94,-4.63,5.62,2.39
